run_date,current_regime,n_states,ann_vol,separation_pvalue,hmm_vs_gmm_agreement
2026-06-26,2,4,0.2233151999944507,0.2008031571658936,0.9701418263249564
2026-06-29,2,4,0.2123780884624147,0.2908006195037885,0.8885572139303483
2026-06-30,2,4,0.2015386002293882,0.1426708110142755,0.8684406863964188
2026-07-01,2,4,0.2124180172333419,0.2959070946881484,0.8970661362506216
2026-07-02,2,4,0.2102379073463088,0.223514124611023,0.9532687049465572
2026-07-06,2,4,0.2239276695538252,0.1557665142445491,0.970924453280318
2026-07-07,2,4,0.2099897920941662,0.2164128608817418,0.955527950310559
2026-07-08,2,4,0.2098822104037498,0.2132706873892698,0.9555389965226032
2026-07-09,2,4,0.2098145040741774,0.2204943630881568,0.955550037248572
2026-07-10,2,4,0.2224800046292598,0.2174523797743446,0.971201588877855
2026-07-13,2,4,0.2096378022601478,0.2167478252752477,0.9560685033507074
2026-07-14,2,4,0.2095322880740832,0.2195304883073978,0.9558312655086848
2026-07-15,2,4,0.209316665674995,0.2236206319877395,0.9558422227735053
