run_date,current_regime,n_states,ann_vol,separation_pvalue,hmm_vs_gmm_agreement
2026-06-26,2,4,0.2233151999944507,0.2008031571658936,0.9701418263249564
2026-06-29,2,4,0.2123780884624147,0.2908006195037885,0.8885572139303483
2026-06-30,2,4,0.2015386002293882,0.1426708110142755,0.8684406863964188
2026-07-01,2,4,0.2124180172333419,0.2959070946881484,0.8970661362506216
2026-07-02,2,4,0.2102379073463088,0.223514124611023,0.9532687049465572
2026-07-06,2,4,0.2239276695538252,0.1557665142445491,0.970924453280318
2026-07-07,2,4,0.2099897920941662,0.2164128608817418,0.955527950310559
2026-07-08,2,4,0.2098822104037498,0.2132706873892698,0.9555389965226032
2026-07-09,2,4,0.2098145040741774,0.2204943630881568,0.955550037248572
2026-07-10,2,4,0.2224800046292598,0.2174523797743446,0.971201588877855
2026-07-13,2,4,0.2096378022601478,0.2167478252752477,0.9560685033507074
2026-07-14,2,4,0.2095322880740832,0.2195304883073978,0.9558312655086848
2026-07-15,2,4,0.209316665674995,0.2236206319877395,0.9558422227735052
2026-07-17,2,4,0.2205584178044534,0.2004642051166441,0.9660302504339202
2026-07-20,2,4,0.2090642818967319,0.207515530807482,0.9563708477937533
2026-07-21,2,4,0.2089965007990781,0.2144827956072911,0.9563816604708798
2026-07-22,2,4,0.2202623490817807,0.2038631179195772,0.9611000991080276
2026-07-23,2,4,0.2202399456653228,0.1937963430697525,0.9618528610354224
2026-07-24,2,4,0.2201280488130767,0.1942278060533222,0.9618623080733036
2026-07-27,2,4,0.2200159482671119,0.1940321022683244,0.5743996038623421
2026-07-28,2,4,0.2199070441064489,0.1955500206744179,0.5301980198019802
2026-07-29,2,4,0.2199343940761979,0.1835148350990279,0.5300668151447662
2026-07-30,2,4,0.2088266798753661,0.2202004176967703,0.4673428995546759
2026-07-31,2,4,0.2087480727023432,0.2263774242240857,0.9745238684145436
2026-08-03,2,4,0.2087659944445399,0.2393646498619113,0.1560336300692383
2026-08-04,2,4,0.2088614233694472,0.2565163694165157,0.9564894932014834
2026-08-05,2,4,0.22203941388529375,0.5169220908224439,0.4644092931290163
